1, throttle, -1, -1
2, throttle, 11, 11:49:58.274
3, throttle, 5, 11:49:58.676
4, throttle, 1, 11:49:59.069
5, throttle, 5, 11:49:59.475
6, throttle, 7, 11:49:59.870
7, throttle, 2, 11:50:00.316
8, throttle, 0, 11:50:00.763
9, throttle, 8, 11:50:01.208
10, throttle, 2, 11:50:01.655
11, throttle, 4, 11:50:02.114
12, throttle, 3, 11:50:02.561
13, throttle, 7, 11:50:03.261
14, throttle, 10, 11:50:04.096
15, throttle, 15, 11:50:04.629
16, throttle, 5, 11:50:05.113
17, throttle, 10, 11:50:05.556
18, throttle, 4, 11:50:05.991
19, throttle, 16, 11:50:06.432
20, throttle, 0, 11:50:06.880
21, throttle, 0, 11:50:07.330
22, throttle, 16, 11:50:07.794
23, throttle, 0, 11:50:08.251
24, throttle, 5, 11:50:08.721
25, throttle, 12, 11:50:09.181
26, throttle, 0, 11:50:09.672
27, throttle, 22, 11:50:10.337
28, throttle, 20, 11:50:10.760
29, throttle, 10, 11:50:11.164
30, throttle, 12, 11:50:11.570
31, throttle, 1, 11:50:11.973
32, throttle, 6, 11:50:12.377
33, throttle, 1, 11:50:12.783
34, throttle, 7, 11:50:13.182
35, throttle, 8, 11:50:13.757
36, throttle, 6, 11:50:14.199
37, throttle, 0, 11:50:14.642
38, throttle, 8, 11:50:15.080
39, throttle, 11, 11:50:15.804
40, throttle, 1, 11:50:16.259
41, throttle, 4, 11:50:16.700
42, throttle, 6, 11:50:17.112
43, throttle, 10, 11:50:17.510
44, throttle, 1, 11:50:17.906
45, throttle, 9, 11:50:18.302
46, throttle, 2, 11:50:18.710
47, throttle, 3, 11:50:19.103
48, throttle, 16, 11:50:19.500
49, throttle, 0, 11:50:19.902
50, throttle, 6, 11:50:20.336
51, throttle, 6, 11:50:20.786
52, throttle, 2, 11:50:21.420
53, throttle, 8, 11:50:21.833
54, throttle, 1, 11:50:22.224
55, throttle, 5, 11:50:22.635
56, throttle, 2, 11:50:23.040
57, throttle, 3, 11:50:23.436
58, throttle, 1, 11:50:24.127
59, throttle, 0, 11:50:24.559
60, throttle, 8, 11:50:25.007
61, throttle, 0, 11:50:25.443
62, throttle, 8, 11:50:25.881
63, throttle, 0, 11:50:26.345
64, throttle, 3, 11:50:27.044
65, throttle, 18, 11:50:27.451
66, throttle, 8, 11:50:27.910
67, throttle, 13, 11:50:28.364
68, throttle, 11, 11:50:28.898
69, throttle, 4, 11:50:29.351
70, throttle, 0, 11:50:29.817
71, throttle, 9, 11:50:30.259
72, throttle, 0, 11:50:30.734
73, throttle, 15, 11:50:31.199
74, throttle, 11, 11:50:31.642
75, throttle, 2, 11:50:32.135
76, throttle, 11, 11:50:32.598
77, throttle, 2, 11:50:33.247
78, throttle, 2, 11:50:33.872
79, throttle, 8, 11:50:34.575
80, throttle, 11, 11:50:35.020
81, throttle, 10, 11:50:35.455
82, throttle, 5, 11:50:35.925
83, throttle, 11, 11:50:36.356
84, throttle, 0, 11:50:36.800
85, throttle, 0, 11:50:37.233
86, throttle, 16, 11:50:37.674
87, throttle, 8, 11:50:38.128
88, throttle, 17, 11:50:38.575
89, throttle, 1, 11:50:39.268
90, throttle, 3, 11:50:39.670
91, throttle, 0, 11:50:40.096
92, throttle, 15, 11:50:40.540
93, throttle, 2, 11:50:40.978
94, throttle, 5, 11:50:41.416
95, throttle, 4, 11:50:41.858
96, throttle, 15, 11:50:42.300
97, throttle, 9, 11:50:42.738
98, throttle, 2, 11:50:43.185
99, throttle, 8, 11:50:43.629
100, throttle, 8, 11:50:44.073
101, throttle, 6, 11:50:44.597
102, throttle, 0, 11:50:45.285
103, throttle, 11, 11:50:45.726
104, throttle, 1, 11:50:46.177
105, throttle, 2, 11:50:46.629
106, throttle, 0, 11:50:47.074
107, throttle, 16, 11:50:47.524
108, throttle, 1, 11:50:47.967
109, throttle, 5, 11:50:48.452
110, throttle, 9, 11:50:48.935
111, throttle, 6, 11:50:49.386
112, throttle, 8, 11:50:49.848
113, throttle, 1, 11:50:50.312
114, throttle, 0, 11:50:51.001
115, throttle, 2, 11:50:51.394
116, throttle, 2, 11:50:51.804
117, throttle, 1, 11:50:52.213
118, throttle, 1, 11:50:52.624
119, throttle, 13, 11:50:53.061
120, throttle, 7, 11:50:53.503
121, throttle, 10, 11:50:53.938
122, throttle, 0, 11:50:54.377
123, throttle, 7, 11:50:54.815
124, throttle, 9, 11:50:55.281
125, throttle, 0, 11:50:55.721
126, throttle, 18, 11:50:56.172
127, throttle, 2, 11:50:56.803
128, throttle, 1, 11:50:57.192
129, throttle, 0, 11:50:57.602
130, throttle, 0, 11:50:57.999
131, throttle, 2, 11:50:58.406
132, throttle, 8, 11:50:58.799
133, throttle, 3, 11:50:59.210
134, throttle, 7, 11:50:59.611
135, throttle, 17, 11:50:59.999
136, throttle, 0, 11:51:00.430
137, throttle, 0, 11:51:00.859
138, throttle, 1, 11:51:01.286
139, throttle, 10, 11:51:01.905
140, throttle, 0, 11:51:02.335
141, throttle, 11, 11:51:02.766
142, throttle, 6, 11:51:03.205
143, throttle, 5, 11:51:03.636
144, throttle, 15, 11:51:04.072
145, throttle, 8, 11:51:04.571
146, throttle, 11, 11:51:05.076
147, throttle, 0, 11:51:05.775
148, throttle, 12, 11:51:06.203
149, throttle, 9, 11:51:06.629
150, throttle, 1, 11:51:07.064
151, throttle, 9, 11:51:07.504
